"","gridref","km_sq","abundance","rec_month","rec_year","easting","northing"
"1","NN000450","NN0045",14,5,2016,200050,745050
"2","NN000450","NN0045",18,5,2016,200050,745050
"3","NM98624542","NM9845",1,6,2016,198625,745425
"4","NM98664548","NM9845",1,6,2016,198665,745485
"5","NM99544507","NM9945",1,6,2016,199545,745075
"6","NM99594557","NM9945",1,6,2016,199595,745575
"7","NM99674572","NM9945",1,6,2016,199675,745725
"8","NM99764520","NM9945",1,6,2016,199765,745205
"9","NM99814602","NM9946",1,6,2016,199815,746025
"10","NN000454","NN0045",15,6,2016,200050,745450
"11","NN119572","NN1157",1,6,2016,211950,757250
"12","NM71375273","NM7152",1,6,2016,171375,752735
"13","NM996325","NM9932",3,5,2016,199650,732550
"14","NN014461","NN0146",1,5,2016,201450,746150
"15","NN001459","NN0045",15,5,2016,200150,745950
"16","NM999453","NM9945",15,6,2016,199950,745350
"17","NN000453","NN0045",5,6,2016,200050,745350
"18","NN15415018","NN1550",6,6,2016,215415,750185
"19","NN000454","NN0045",15,5,2016,200050,745450
"20","NN064400","NN0640",2,6,2016,206450,740050
"21","NN074401","NN0740",2,6,2016,207450,740150
"22","NN075402","NN0740",1,6,2016,207550,740250
"23","NN075402","NN0740",1,6,2016,207550,740250
"24","NN080405","NN0840",1,6,2016,208050,740550
"25","NN054381","NN0538",1,6,2016,205450,738150
"26","NN054381","NN0538",1,6,2016,205450,738150
"27","NN054392","NN0539",1,6,2016,205450,739250
"28","NN054392","NN0539",1,6,2016,205450,739250
"29","NN059397","NN0539",1,6,2016,205950,739750
"30","NN059397","NN0539",1,6,2016,205950,739750
"31","NN123564","NN1256",1,6,2016,212350,756450
"32","NN275985","NN2798",1,6,2002,227550,798550
"33","NM9744","NM9744",1,6,2003,197500,744500
"34","NM9744","NM9744",1,6,2003,197500,744500
"35","NN278816","NN2781",0,6,2007,227850,781650
"36","NN110840","NN1184",1,6,2008,211050,784050
"37","NM726844","NM7284",20,6,2010,172650,784450
"38","NM830633","NM8363",0,6,2010,183050,763350
